config_name,sub_task_name,instruction,instance_id,camera,source_image,source_dir,output_image,status
g2op_if_pick_block_number,pick_block_number,Right arm picks up the block shaped like number 8 on the table,3,head,/home/user/djy/genie_sim/task_previews/g2op_if_pick_block_number/head.png,/home/user/djy/genie_sim/task_previews/g2op_if_pick_block_number,/home/user/djy/genie_sim/task_previews_with_instructions/g2op_if_pick_block_number.png,ok
g2op_if_pick_block_shape,pick_block_shape,Right arm picks up the cube block on the table,3,head,/home/user/djy/genie_sim/task_previews/g2op_if_pick_block_shape/head.png,/home/user/djy/genie_sim/task_previews/g2op_if_pick_block_shape,/home/user/djy/genie_sim/task_previews_with_instructions/g2op_if_pick_block_shape.png,ok
g2op_if_pick_block_size,pick_block_size,Left arm picks up the largest block on the table,27,head,/home/user/djy/genie_sim/task_previews/g2op_if_pick_block_size/head.png,/home/user/djy/genie_sim/task_previews/g2op_if_pick_block_size,/home/user/djy/genie_sim/task_previews_with_instructions/g2op_if_pick_block_size.png,ok
g2op_if_pick_common_sense,pick_common_sense,"I am very thirsty now, grasp an object that can quench thirst for me",14,head,/home/user/djy/genie_sim/task_previews/g2op_if_pick_common_sense/head.png,/home/user/djy/genie_sim/task_previews/g2op_if_pick_common_sense,/home/user/djy/genie_sim/task_previews_with_instructions/g2op_if_pick_common_sense.png,ok
g2op_if_pick_follow_logic_or,pick_follow_logic_or,Right arm picks up the stationery or fruit on the table,27,head,/home/user/djy/genie_sim/task_previews/g2op_if_pick_follow_logic_or/head.png,/home/user/djy/genie_sim/task_previews/g2op_if_pick_follow_logic_or,/home/user/djy/genie_sim/task_previews_with_instructions/g2op_if_pick_follow_logic_or.png,ok
g2op_if_pick_object_type,pick_object_type,Left arm picks up drinks on the table,14,head,/home/user/djy/genie_sim/task_previews/g2op_if_pick_object_type/head.png,/home/user/djy/genie_sim/task_previews/g2op_if_pick_object_type,/home/user/djy/genie_sim/task_previews_with_instructions/g2op_if_pick_object_type.png,ok
g2op_if_pick_specific_object,pick_specific_object,Right arm picks up the mouse on the table,14,head,/home/user/djy/genie_sim/task_previews/g2op_if_pick_specific_object/head.png,/home/user/djy/genie_sim/task_previews/g2op_if_pick_specific_object,/home/user/djy/genie_sim/task_previews_with_instructions/g2op_if_pick_specific_object.png,ok
g2op_if_straighten_object,straighten_object,"Right arm picks up the oolong tea on the table, Right arm straightens the oolong tea and returns it to the original position",27,head,/home/user/djy/genie_sim/task_previews/g2op_if_straighten_object/head.png,/home/user/djy/genie_sim/task_previews/g2op_if_straighten_object,/home/user/djy/genie_sim/task_previews_with_instructions/g2op_if_straighten_object.png,ok
g2op_manip_bimanual_hold_pot,hold_pot,"Grasp both handles of the pot with left and right hands, move the pot to the stove and put it down.",3,head,/home/user/djy/genie_sim/task_previews/g2op_manip_bimanual_hold_pot/head.png,/home/user/djy/genie_sim/task_previews/g2op_manip_bimanual_hold_pot,/home/user/djy/genie_sim/task_previews_with_instructions/g2op_manip_bimanual_hold_pot.png,ok
g2op_manip_clean_the_desktop,clean_the_desktop,"Pick up the pen on the left side and place it into the pen holder, close the laptop, pick up the tissue on the table and place it into the trash bin on the right size. Then, pick up the mouse and place it on the right side of the laptop. Finally, straighten the colored pencil box.",19,head,/home/user/djy/genie_sim/task_previews/g2op_manip_clean_the_desktop/head.png,/home/user/djy/genie_sim/task_previews/g2op_manip_clean_the_desktop,/home/user/djy/genie_sim/task_previews_with_instructions/g2op_manip_clean_the_desktop.png,ok
g2op_manip_open_door,open_door,"Turn the doorknob with the right arm, push the door.",3,head,/home/user/djy/genie_sim/task_previews/g2op_manip_open_door/head.png,/home/user/djy/genie_sim/task_previews/g2op_manip_open_door,/home/user/djy/genie_sim/task_previews_with_instructions/g2op_manip_open_door.png,ok
g2op_manip_place_block_into_box,place_block_into_box,"The left arm picks up the yellow circular block from the table, place the yellow round block into the round hole of the block box.",3,head,/home/user/djy/genie_sim/task_previews/g2op_manip_place_block_into_box/head.png,/home/user/djy/genie_sim/task_previews/g2op_manip_place_block_into_box,/home/user/djy/genie_sim/task_previews_with_instructions/g2op_manip_place_block_into_box.png,ok
g2op_manip_pour_workpiece,pour_workpiece,Pour the workpiece into the box with the right arm.,3,head,/home/user/djy/genie_sim/task_previews/g2op_manip_pour_workpiece/head.png,/home/user/djy/genie_sim/task_previews/g2op_manip_pour_workpiece,/home/user/djy/genie_sim/task_previews_with_instructions/g2op_manip_pour_workpiece.png,ok
g2op_manip_scoop_popcorn,scoop_popcorn,Scoop the popcorn with the right arm and pour it into the popcorn bucket.,3,head,/home/user/djy/genie_sim/task_previews/g2op_manip_scoop_popcorn/head.png,/home/user/djy/genie_sim/task_previews/g2op_manip_scoop_popcorn,/home/user/djy/genie_sim/task_previews_with_instructions/g2op_manip_scoop_popcorn.png,ok
g2op_manip_sorting_packages,sorting_packages,Grab the red package on the table with right arm. Turn the waist right to face the barcode scanner. Place the package on the scanning table with the barcode facing up. The right arm grabs the package. Rotate the waist with the right arm. Place the package in the blue bin. Both arms coordinate and the waist returns to the initial posture.,2,head,/home/user/djy/genie_sim/task_previews/g2op_manip_sorting_packages/head.png,/home/user/djy/genie_sim/task_previews/g2op_manip_sorting_packages,/home/user/djy/genie_sim/task_previews_with_instructions/g2op_manip_sorting_packages.png,ok
g2op_manip_sorting_packages_continuous,sorting_packages_continuous,Sort packages,2,head,/home/user/djy/genie_sim/task_previews/g2op_manip_sorting_packages_continuous/head.png,/home/user/djy/genie_sim/task_previews/g2op_manip_sorting_packages_continuous,/home/user/djy/genie_sim/task_previews_with_instructions/g2op_manip_sorting_packages_continuous.png,ok
g2op_manip_stock_and_straighten_shelf,stock_and_straighten_shelf,"Pick up the wei-chuan orange juice in the shopping basket and place it on the shelf with right arm, straighten the overturned wei-chuan grape juice with right arm.",2,head,/home/user/djy/genie_sim/task_previews/g2op_manip_stock_and_straighten_shelf/head.png,/home/user/djy/genie_sim/task_previews/g2op_manip_stock_and_straighten_shelf,/home/user/djy/genie_sim/task_previews_with_instructions/g2op_manip_stock_and_straighten_shelf.png,ok
g2op_manip_take_wrong_item_shelf,take_wrong_item_shelf,"The right arm picks up the incorrectly placed item from the shelf, place the misplaced items from the shelf into the shopping basket.",3,head,/home/user/djy/genie_sim/task_previews/g2op_manip_take_wrong_item_shelf/head.png,/home/user/djy/genie_sim/task_previews/g2op_manip_take_wrong_item_shelf,/home/user/djy/genie_sim/task_previews_with_instructions/g2op_manip_take_wrong_item_shelf.png,ok
g2op_robust_backgen_pick_billiards_color,pick_billiards_color,Right arm picks up red billiard balls on the table,14,head,/home/user/djy/genie_sim/task_previews/g2op_robust_backgen_pick_billiards_color/head.png,/home/user/djy/genie_sim/task_previews/g2op_robust_backgen_pick_billiards_color,/home/user/djy/genie_sim/task_previews_with_instructions/g2op_robust_backgen_pick_billiards_color.png,ok
g2op_robust_backgen_pick_block_color,pick_block_color,Left arm picks up red block on the table,3,head,/home/user/djy/genie_sim/task_previews/g2op_robust_backgen_pick_block_color/head.png,/home/user/djy/genie_sim/task_previews/g2op_robust_backgen_pick_block_color,/home/user/djy/genie_sim/task_previews_with_instructions/g2op_robust_backgen_pick_block_color.png,ok
g2op_robust_backgen_pick_block_number,pick_block_number,Right arm picks up the block shaped like number 8 on the table,3,head,/home/user/djy/genie_sim/task_previews/g2op_robust_backgen_pick_block_number/head.png,/home/user/djy/genie_sim/task_previews/g2op_robust_backgen_pick_block_number,/home/user/djy/genie_sim/task_previews_with_instructions/g2op_robust_backgen_pick_block_number.png,ok
g2op_robust_backgen_pick_block_shape,pick_block_shape,Right arm picks up the cube block on the table,3,head,/home/user/djy/genie_sim/task_previews/g2op_robust_backgen_pick_block_shape/head.png,/home/user/djy/genie_sim/task_previews/g2op_robust_backgen_pick_block_shape,/home/user/djy/genie_sim/task_previews_with_instructions/g2op_robust_backgen_pick_block_shape.png,ok
g2op_robust_backgen_pick_block_size,pick_block_size,Left arm picks up the largest block on the table,27,head,/home/user/djy/genie_sim/task_previews/g2op_robust_backgen_pick_block_size/head.png,/home/user/djy/genie_sim/task_previews/g2op_robust_backgen_pick_block_size,/home/user/djy/genie_sim/task_previews_with_instructions/g2op_robust_backgen_pick_block_size.png,ok
g2op_robust_backgen_pick_common_sense,pick_common_sense,"I am very thirsty now, grasp an object that can quench thirst for me",14,head,/home/user/djy/genie_sim/task_previews/g2op_robust_backgen_pick_common_sense/head.png,/home/user/djy/genie_sim/task_previews/g2op_robust_backgen_pick_common_sense,/home/user/djy/genie_sim/task_previews_with_instructions/g2op_robust_backgen_pick_common_sense.png,ok
g2op_robust_backgen_pick_follow_logic_or,pick_follow_logic_or,Right arm picks up the stationery or fruit on the table,27,head,/home/user/djy/genie_sim/task_previews/g2op_robust_backgen_pick_follow_logic_or/head.png,/home/user/djy/genie_sim/task_previews/g2op_robust_backgen_pick_follow_logic_or,/home/user/djy/genie_sim/task_previews_with_instructions/g2op_robust_backgen_pick_follow_logic_or.png,ok
g2op_robust_backgen_pick_object_type,pick_object_type,Left arm picks up drinks on the table,14,head,/home/user/djy/genie_sim/task_previews/g2op_robust_backgen_pick_object_type/head.png,/home/user/djy/genie_sim/task_previews/g2op_robust_backgen_pick_object_type,/home/user/djy/genie_sim/task_previews_with_instructions/g2op_robust_backgen_pick_object_type.png,ok
g2op_robust_backgen_pick_specific_object,pick_specific_object,Right arm picks up the mouse on the table,14,head,/home/user/djy/genie_sim/task_previews/g2op_robust_backgen_pick_specific_object/head.png,/home/user/djy/genie_sim/task_previews/g2op_robust_backgen_pick_specific_object,/home/user/djy/genie_sim/task_previews_with_instructions/g2op_robust_backgen_pick_specific_object.png,ok
g2op_robust_backgen_straighten_object,straighten_object,"Right arm picks up the oolong tea on the table, Right arm straightens the oolong tea and returns it to the original position",27,head,/home/user/djy/genie_sim/task_previews/g2op_robust_backgen_straighten_object/head.png,/home/user/djy/genie_sim/task_previews/g2op_robust_backgen_straighten_object,/home/user/djy/genie_sim/task_previews_with_instructions/g2op_robust_backgen_straighten_object.png,ok
g2op_robust_camposgen_pick_billiards_color,pick_billiards_color,Right arm picks up red billiard balls on the table,14,head,/home/user/djy/genie_sim/task_previews/g2op_robust_camposgen_pick_billiards_color/head.png,/home/user/djy/genie_sim/task_previews/g2op_robust_camposgen_pick_billiards_color,/home/user/djy/genie_sim/task_previews_with_instructions/g2op_robust_camposgen_pick_billiards_color.png,ok
g2op_robust_camposgen_pick_block_color,pick_block_color,Left arm picks up red block on the table,3,head,/home/user/djy/genie_sim/task_previews/g2op_robust_camposgen_pick_block_color/head.png,/home/user/djy/genie_sim/task_previews/g2op_robust_camposgen_pick_block_color,/home/user/djy/genie_sim/task_previews_with_instructions/g2op_robust_camposgen_pick_block_color.png,ok
g2op_robust_camposgen_pick_block_number,pick_block_number,Right arm picks up the block shaped like number 8 on the table,3,head,/home/user/djy/genie_sim/task_previews/g2op_robust_camposgen_pick_block_number/head.png,/home/user/djy/genie_sim/task_previews/g2op_robust_camposgen_pick_block_number,/home/user/djy/genie_sim/task_previews_with_instructions/g2op_robust_camposgen_pick_block_number.png,ok
g2op_robust_camposgen_pick_block_shape,pick_block_shape,Right arm picks up the cube block on the table,3,head,/home/user/djy/genie_sim/task_previews/g2op_robust_camposgen_pick_block_shape/head.png,/home/user/djy/genie_sim/task_previews/g2op_robust_camposgen_pick_block_shape,/home/user/djy/genie_sim/task_previews_with_instructions/g2op_robust_camposgen_pick_block_shape.png,ok
g2op_robust_camposgen_pick_block_size,pick_block_size,Left arm picks up the largest block on the table,27,head,/home/user/djy/genie_sim/task_previews/g2op_robust_camposgen_pick_block_size/head.png,/home/user/djy/genie_sim/task_previews/g2op_robust_camposgen_pick_block_size,/home/user/djy/genie_sim/task_previews_with_instructions/g2op_robust_camposgen_pick_block_size.png,ok
g2op_robust_camposgen_pick_common_sense,pick_common_sense,"I am very thirsty now, grasp an object that can quench thirst for me",14,head,/home/user/djy/genie_sim/task_previews/g2op_robust_camposgen_pick_common_sense/head.png,/home/user/djy/genie_sim/task_previews/g2op_robust_camposgen_pick_common_sense,/home/user/djy/genie_sim/task_previews_with_instructions/g2op_robust_camposgen_pick_common_sense.png,ok
g2op_robust_camposgen_pick_follow_logic_or,pick_follow_logic_or,Right arm picks up the stationery or fruit on the table,27,head,/home/user/djy/genie_sim/task_previews/g2op_robust_camposgen_pick_follow_logic_or/head.png,/home/user/djy/genie_sim/task_previews/g2op_robust_camposgen_pick_follow_logic_or,/home/user/djy/genie_sim/task_previews_with_instructions/g2op_robust_camposgen_pick_follow_logic_or.png,ok
g2op_robust_camposgen_pick_object_type,pick_object_type,Left arm picks up drinks on the table,14,head,/home/user/djy/genie_sim/task_previews/g2op_robust_camposgen_pick_object_type/head.png,/home/user/djy/genie_sim/task_previews/g2op_robust_camposgen_pick_object_type,/home/user/djy/genie_sim/task_previews_with_instructions/g2op_robust_camposgen_pick_object_type.png,ok
g2op_robust_camposgen_pick_specific_object,pick_specific_object,Right arm picks up the mouse on the table,14,head,/home/user/djy/genie_sim/task_previews/g2op_robust_camposgen_pick_specific_object/head.png,/home/user/djy/genie_sim/task_previews/g2op_robust_camposgen_pick_specific_object,/home/user/djy/genie_sim/task_previews_with_instructions/g2op_robust_camposgen_pick_specific_object.png,ok
g2op_robust_camposgen_straighten_object,straighten_object,"Right arm picks up the oolong tea on the table, Right arm straightens the oolong tea and returns it to the original position",27,head,/home/user/djy/genie_sim/task_previews/g2op_robust_camposgen_straighten_object/head.png,/home/user/djy/genie_sim/task_previews/g2op_robust_camposgen_straighten_object,/home/user/djy/genie_sim/task_previews_with_instructions/g2op_robust_camposgen_straighten_object.png,ok
g2op_robust_camqualgen_pick_billiards_color,pick_billiards_color,Right arm picks up red billiard balls on the table,14,head,/home/user/djy/genie_sim/task_previews/g2op_robust_camqualgen_pick_billiards_color/head.png,/home/user/djy/genie_sim/task_previews/g2op_robust_camqualgen_pick_billiards_color,/home/user/djy/genie_sim/task_previews_with_instructions/g2op_robust_camqualgen_pick_billiards_color.png,ok
g2op_robust_camqualgen_pick_block_color,pick_block_color,Left arm picks up red block on the table,3,head,/home/user/djy/genie_sim/task_previews/g2op_robust_camqualgen_pick_block_color/head.png,/home/user/djy/genie_sim/task_previews/g2op_robust_camqualgen_pick_block_color,/home/user/djy/genie_sim/task_previews_with_instructions/g2op_robust_camqualgen_pick_block_color.png,ok
g2op_robust_camqualgen_pick_block_number,pick_block_number,Right arm picks up the block shaped like number 8 on the table,3,head,/home/user/djy/genie_sim/task_previews/g2op_robust_camqualgen_pick_block_number/head.png,/home/user/djy/genie_sim/task_previews/g2op_robust_camqualgen_pick_block_number,/home/user/djy/genie_sim/task_previews_with_instructions/g2op_robust_camqualgen_pick_block_number.png,ok
g2op_robust_camqualgen_pick_block_shape,pick_block_shape,Right arm picks up the cube block on the table,3,head,/home/user/djy/genie_sim/task_previews/g2op_robust_camqualgen_pick_block_shape/head.png,/home/user/djy/genie_sim/task_previews/g2op_robust_camqualgen_pick_block_shape,/home/user/djy/genie_sim/task_previews_with_instructions/g2op_robust_camqualgen_pick_block_shape.png,ok
g2op_robust_camqualgen_pick_block_size,pick_block_size,Left arm picks up the largest block on the table,27,head,/home/user/djy/genie_sim/task_previews/g2op_robust_camqualgen_pick_block_size/head.png,/home/user/djy/genie_sim/task_previews/g2op_robust_camqualgen_pick_block_size,/home/user/djy/genie_sim/task_previews_with_instructions/g2op_robust_camqualgen_pick_block_size.png,ok
g2op_robust_camqualgen_pick_common_sense,pick_common_sense,"I am very thirsty now, grasp an object that can quench thirst for me",14,head,/home/user/djy/genie_sim/task_previews/g2op_robust_camqualgen_pick_common_sense/head.png,/home/user/djy/genie_sim/task_previews/g2op_robust_camqualgen_pick_common_sense,/home/user/djy/genie_sim/task_previews_with_instructions/g2op_robust_camqualgen_pick_common_sense.png,ok
g2op_robust_camqualgen_pick_follow_logic_or,pick_follow_logic_or,Right arm picks up the stationery or fruit on the table,27,head,/home/user/djy/genie_sim/task_previews/g2op_robust_camqualgen_pick_follow_logic_or/head.png,/home/user/djy/genie_sim/task_previews/g2op_robust_camqualgen_pick_follow_logic_or,/home/user/djy/genie_sim/task_previews_with_instructions/g2op_robust_camqualgen_pick_follow_logic_or.png,ok
g2op_robust_camqualgen_pick_object_type,pick_object_type,Left arm picks up drinks on the table,14,head,/home/user/djy/genie_sim/task_previews/g2op_robust_camqualgen_pick_object_type/head.png,/home/user/djy/genie_sim/task_previews/g2op_robust_camqualgen_pick_object_type,/home/user/djy/genie_sim/task_previews_with_instructions/g2op_robust_camqualgen_pick_object_type.png,ok
g2op_robust_camqualgen_pick_specific_object,pick_specific_object,Right arm picks up the mouse on the table,14,head,/home/user/djy/genie_sim/task_previews/g2op_robust_camqualgen_pick_specific_object/head.png,/home/user/djy/genie_sim/task_previews/g2op_robust_camqualgen_pick_specific_object,/home/user/djy/genie_sim/task_previews_with_instructions/g2op_robust_camqualgen_pick_specific_object.png,ok
g2op_robust_camqualgen_straighten_object,straighten_object,"Right arm picks up the oolong tea on the table, Right arm straightens the oolong tea and returns it to the original position",27,head,/home/user/djy/genie_sim/task_previews/g2op_robust_camqualgen_straighten_object/head.png,/home/user/djy/genie_sim/task_previews/g2op_robust_camqualgen_straighten_object,/home/user/djy/genie_sim/task_previews_with_instructions/g2op_robust_camqualgen_straighten_object.png,ok
g2op_robust_instructgen_pick_billiards_color,pick_billiards_color,Right arm picks up red billiard balls on the table,14,head,/home/user/djy/genie_sim/task_previews/g2op_robust_instructgen_pick_billiards_color/head.png,/home/user/djy/genie_sim/task_previews/g2op_robust_instructgen_pick_billiards_color,/home/user/djy/genie_sim/task_previews_with_instructions/g2op_robust_instructgen_pick_billiards_color.png,ok
g2op_robust_instructgen_pick_block_color,pick_block_color,Left arm picks up red block on the table,3,head,/home/user/djy/genie_sim/task_previews/g2op_robust_instructgen_pick_block_color/head.png,/home/user/djy/genie_sim/task_previews/g2op_robust_instructgen_pick_block_color,/home/user/djy/genie_sim/task_previews_with_instructions/g2op_robust_instructgen_pick_block_color.png,ok
g2op_robust_instructgen_pick_block_number,pick_block_number,Right arm picks up the block shaped like number 8 on the table,3,head,/home/user/djy/genie_sim/task_previews/g2op_robust_instructgen_pick_block_number/head.png,/home/user/djy/genie_sim/task_previews/g2op_robust_instructgen_pick_block_number,/home/user/djy/genie_sim/task_previews_with_instructions/g2op_robust_instructgen_pick_block_number.png,ok
g2op_robust_instructgen_pick_block_shape,pick_block_shape,Right arm picks up the cube block on the table,3,head,/home/user/djy/genie_sim/task_previews/g2op_robust_instructgen_pick_block_shape/head.png,/home/user/djy/genie_sim/task_previews/g2op_robust_instructgen_pick_block_shape,/home/user/djy/genie_sim/task_previews_with_instructions/g2op_robust_instructgen_pick_block_shape.png,ok
g2op_robust_instructgen_pick_block_size,pick_block_size,Left arm picks up the largest block on the table,27,head,/home/user/djy/genie_sim/task_previews/g2op_robust_instructgen_pick_block_size/head.png,/home/user/djy/genie_sim/task_previews/g2op_robust_instructgen_pick_block_size,/home/user/djy/genie_sim/task_previews_with_instructions/g2op_robust_instructgen_pick_block_size.png,ok
g2op_robust_instructgen_pick_common_sense,pick_common_sense,"I am very thirsty now, grasp an object that can quench thirst for me",14,head,/home/user/djy/genie_sim/task_previews/g2op_robust_instructgen_pick_common_sense/head.png,/home/user/djy/genie_sim/task_previews/g2op_robust_instructgen_pick_common_sense,/home/user/djy/genie_sim/task_previews_with_instructions/g2op_robust_instructgen_pick_common_sense.png,ok
g2op_robust_instructgen_pick_follow_logic_or,pick_follow_logic_or,Right arm picks up the stationery or fruit on the table,27,head,/home/user/djy/genie_sim/task_previews/g2op_robust_instructgen_pick_follow_logic_or/head.png,/home/user/djy/genie_sim/task_previews/g2op_robust_instructgen_pick_follow_logic_or,/home/user/djy/genie_sim/task_previews_with_instructions/g2op_robust_instructgen_pick_follow_logic_or.png,ok
g2op_robust_instructgen_pick_object_type,pick_object_type,Left arm picks up drinks on the table,14,head,/home/user/djy/genie_sim/task_previews/g2op_robust_instructgen_pick_object_type/head.png,/home/user/djy/genie_sim/task_previews/g2op_robust_instructgen_pick_object_type,/home/user/djy/genie_sim/task_previews_with_instructions/g2op_robust_instructgen_pick_object_type.png,ok
g2op_robust_instructgen_pick_specific_object,pick_specific_object,Right arm picks up the mouse on the table,14,head,/home/user/djy/genie_sim/task_previews/g2op_robust_instructgen_pick_specific_object/head.png,/home/user/djy/genie_sim/task_previews/g2op_robust_instructgen_pick_specific_object,/home/user/djy/genie_sim/task_previews_with_instructions/g2op_robust_instructgen_pick_specific_object.png,ok
g2op_robust_instructgen_straighten_object,straighten_object,"Right arm picks up the oolong tea on the table, Right arm straightens the oolong tea and returns it to the original position",27,head,/home/user/djy/genie_sim/task_previews/g2op_robust_instructgen_straighten_object/head.png,/home/user/djy/genie_sim/task_previews/g2op_robust_instructgen_straighten_object,/home/user/djy/genie_sim/task_previews_with_instructions/g2op_robust_instructgen_straighten_object.png,ok
g2op_robust_posegen_pick_billiards_color,pick_billiards_color,Right arm picks up red billiard balls on the table,14,head,/home/user/djy/genie_sim/task_previews/g2op_robust_posegen_pick_billiards_color/head.png,/home/user/djy/genie_sim/task_previews/g2op_robust_posegen_pick_billiards_color,/home/user/djy/genie_sim/task_previews_with_instructions/g2op_robust_posegen_pick_billiards_color.png,ok
g2op_robust_posegen_pick_block_color,pick_block_color,Left arm picks up red block on the table,3,head,/home/user/djy/genie_sim/task_previews/g2op_robust_posegen_pick_block_color/head.png,/home/user/djy/genie_sim/task_previews/g2op_robust_posegen_pick_block_color,/home/user/djy/genie_sim/task_previews_with_instructions/g2op_robust_posegen_pick_block_color.png,ok
g2op_robust_posegen_pick_block_number,pick_block_number,Right arm picks up the block shaped like number 8 on the table,3,head,/home/user/djy/genie_sim/task_previews/g2op_robust_posegen_pick_block_number/head.png,/home/user/djy/genie_sim/task_previews/g2op_robust_posegen_pick_block_number,/home/user/djy/genie_sim/task_previews_with_instructions/g2op_robust_posegen_pick_block_number.png,ok
g2op_robust_posegen_pick_block_shape,pick_block_shape,Right arm picks up the cube block on the table,3,head,/home/user/djy/genie_sim/task_previews/g2op_robust_posegen_pick_block_shape/head.png,/home/user/djy/genie_sim/task_previews/g2op_robust_posegen_pick_block_shape,/home/user/djy/genie_sim/task_previews_with_instructions/g2op_robust_posegen_pick_block_shape.png,ok
g2op_robust_posegen_pick_block_size,pick_block_size,Left arm picks up the largest block on the table,27,head,/home/user/djy/genie_sim/task_previews/g2op_robust_posegen_pick_block_size/head.png,/home/user/djy/genie_sim/task_previews/g2op_robust_posegen_pick_block_size,/home/user/djy/genie_sim/task_previews_with_instructions/g2op_robust_posegen_pick_block_size.png,ok
g2op_robust_posegen_pick_common_sense,pick_common_sense,"I am very thirsty now, grasp an object that can quench thirst for me",14,head,/home/user/djy/genie_sim/task_previews/g2op_robust_posegen_pick_common_sense/head.png,/home/user/djy/genie_sim/task_previews/g2op_robust_posegen_pick_common_sense,/home/user/djy/genie_sim/task_previews_with_instructions/g2op_robust_posegen_pick_common_sense.png,ok
g2op_robust_posegen_pick_follow_logic_or,pick_follow_logic_or,Right arm picks up the stationery or fruit on the table,27,head,/home/user/djy/genie_sim/task_previews/g2op_robust_posegen_pick_follow_logic_or/head.png,/home/user/djy/genie_sim/task_previews/g2op_robust_posegen_pick_follow_logic_or,/home/user/djy/genie_sim/task_previews_with_instructions/g2op_robust_posegen_pick_follow_logic_or.png,ok
g2op_robust_posegen_pick_object_type,pick_object_type,Left arm picks up drinks on the table,14,head,/home/user/djy/genie_sim/task_previews/g2op_robust_posegen_pick_object_type/head.png,/home/user/djy/genie_sim/task_previews/g2op_robust_posegen_pick_object_type,/home/user/djy/genie_sim/task_previews_with_instructions/g2op_robust_posegen_pick_object_type.png,ok
g2op_robust_posegen_pick_specific_object,pick_specific_object,Right arm picks up the mouse on the table,14,head,/home/user/djy/genie_sim/task_previews/g2op_robust_posegen_pick_specific_object/head.png,/home/user/djy/genie_sim/task_previews/g2op_robust_posegen_pick_specific_object,/home/user/djy/genie_sim/task_previews_with_instructions/g2op_robust_posegen_pick_specific_object.png,ok
g2op_robust_posegen_straighten_object,straighten_object,"Right arm picks up the oolong tea on the table, Right arm straightens the oolong tea and returns it to the original position",27,head,/home/user/djy/genie_sim/task_previews/g2op_robust_posegen_straighten_object/head.png,/home/user/djy/genie_sim/task_previews/g2op_robust_posegen_straighten_object,/home/user/djy/genie_sim/task_previews_with_instructions/g2op_robust_posegen_straighten_object.png,ok
